"","Latitude","Longitude","Altitude"
"1",44.8961311,-68.6672883,137.89
"2",44.8961073,-68.6674577,148.15
"3",44.8962913,-68.66738,166.34
"4",44.8962744,-68.66724,155.74
"5",44.8963245,-68.6672674,150.04
"6",44.8962352,-68.6673154,177.93
"7",44.8961672,-68.6674164,156.1
"8",44.896209,-68.6672761,162.93
"9",44.89625,-68.6672714,163.23
"10",44.8962353,-68.6674437,198.13
"11",44.8962038,-68.6675544,202.01
"12",44.8962979,-68.667208,172.92
"13",44.8961909,-68.6673388,158.38
"14",44.8962626,-68.6671561,163.22
"15",44.8962485,-68.6673655,177.86
"16",44.8957409,-68.6682172,162.64
"17",44.8958949,-68.6680036,167.9
"18",44.8959726,-68.6679098,164.41
"19",44.8959381,-68.6678988,181.83
"20",44.8957978,-68.6681735,162.49
"21",44.8958485,-68.6681394,170.08
"22",44.8964551,-68.6681363,163.94
"23",44.8956111,-68.6681538,167.79
"24",44.8958506,-68.6681111,177.68
"25",44.8959173,-68.6681318,168.71
"26",44.8959225,-68.6674356,165.71
"27",44.8959182,-68.66688,165.49
"28",44.8964691,-68.6668807,165.94
"29",44.8963227,-68.668382,167.5
"30",44.895793,-68.6669382,163.34
"31",44.8960809,-68.6679095,171.69
"32",44.8964324,-68.666996,162.72
"33",44.8955904,-68.6677211,167.31
"34",44.8958898,-68.6678538,170.42
"35",44.8960718,-68.6673099,169.94
"36",44.8960499,-68.6679064,162.11
"37",44.8958869,-68.667837,163.58
"38",44.8957695,-68.6681952,174.35
"39",44.8960166,-68.6681267,168.54
"40",44.8964112,-68.66816,159.94
"41",44.8956433,-68.6681398,160.57
"42",44.895788,-68.6680627,165.37
"43",44.8959452,-68.6681218,176.09
"44",44.8959265,-68.6673568,168.07
"45",44.8958895,-68.6672184,162.14
"46",44.896511,-68.6669033,171.64
"47",44.8963913,-68.6684597,158.41
"48",44.8957784,-68.6669983,158.35
"49",44.8960689,-68.6679097,167.75
