"","X","Latitude","Longitude","Altitude","t_hae_m_1","height_above_terrain","real_hat","error"
"1",1,44.8961311,-68.6672883,137.89,35.812,102.078,119.238,-17.16
"2",2,44.8961073,-68.6674577,148.15,36.1493,112.0007,119.238,-7.23729999999999
"3",3,44.8962913,-68.66738,166.34,35.7602,130.5798,119.238,11.3418
"4",4,44.8962744,-68.66724,155.74,35.4347,120.3053,119.238,1.06730000000002
"5",5,44.8963245,-68.6672674,150.04,35.4242,114.6158,119.238,-4.62220000000001
"6",6,44.8962352,-68.6673154,177.93,35.6844,142.2456,119.238,23.0076
"7",7,44.8961672,-68.6674164,156.1,36.036,120.064,119.238,0.825999999999993
"8",8,44.896209,-68.6672761,162.93,35.6044,127.3256,119.238,8.08760000000001
"9",9,44.89625,-68.6672714,163.23,35.5644,127.6656,119.238,8.42759999999998
"10",10,44.8962353,-68.6674437,198.13,36.0095,162.1205,119.238,42.8825
"11",11,44.8962038,-68.6675544,202.01,36.1844,165.8256,119.238,46.5876
"12",12,44.8962979,-68.667208,172.92,35.3148,137.6052,119.238,18.3672
"13",13,44.8961909,-68.6673388,158.38,35.852,122.528,119.238,3.28999999999999
"14",14,44.8962626,-68.6671561,163.22,35.2882,127.9318,119.238,8.6938
"15",15,44.8962485,-68.6673655,177.86,35.8295,142.0305,119.238,22.7925
"16",16,44.8957409,-68.6682172,162.64,35.4904,127.1496,120.396,6.75359999999999
"17",17,44.8958949,-68.6680036,167.9,35.9945,131.9055,120.396,11.5095
"18",18,44.8959726,-68.6679098,164.41,35.7766,128.6334,120.396,8.23739999999999
"19",19,44.8959381,-68.6678988,181.83,35.7366,146.0934,120.396,25.6974
"20",20,44.8957978,-68.6681735,162.49,35.6019,126.8881,120.396,6.49210000000001
"21",21,44.8958485,-68.6681394,170.08,35.8147,134.2653,120.396,13.8693
"22",22,44.8964551,-68.6681363,163.94,36.6646,127.2754,120.396,6.87939999999999
"23",23,44.8956111,-68.6681538,167.79,35.317,132.473,120.396,12.077
"24",24,44.8958506,-68.6681111,177.68,35.8347,141.8453,120.396,21.4493
"25",25,44.8959173,-68.6681318,168.71,35.964,132.746,120.396,12.35
"26",26,44.8959225,-68.6674356,165.71,36.0344,129.6756,120.396,9.2796
"27",27,44.8959182,-68.66688,165.49,35.5228,129.9672,120.396,9.57120000000002
"28",28,44.8964691,-68.6668807,165.94,35.577,130.363,120.396,9.967
"29",29,44.8963227,-68.668382,167.5,35.9463,131.5537,120.396,11.1577
"30",30,44.895793,-68.6669382,163.34,35.4861,127.8539,120.396,7.45790000000001
"31",31,44.8960809,-68.6679095,171.69,36.0402,135.6498,120.396,15.2538
"32",32,44.8964324,-68.666996,162.72,35.3703,127.3497,120.396,6.9537
"33",33,44.8955904,-68.6677211,167.31,35.4282,131.8818,120.396,11.4858
"34",34,44.8958898,-68.6678538,170.42,35.6823,134.7377,120.396,14.3417
"35",35,44.8960718,-68.6673099,169.94,35.899,134.041,120.396,13.645
"36",36,44.8960499,-68.6679064,162.11,35.958,126.152,120.396,5.75600000000001
"37",37,44.8958869,-68.667837,163.58,35.6823,127.8977,120.396,7.50170000000001
"38",38,44.8957695,-68.6681952,174.35,35.5592,138.7908,120.396,18.3948
"39",39,44.8960166,-68.6681267,168.54,36.1754,132.3646,120.396,11.9686
"40",40,44.8964112,-68.66816,159.94,36.606,123.334,120.396,2.938
"41",41,44.8956433,-68.6681398,160.57,35.5956,124.9744,120.396,4.5784
"42",42,44.895788,-68.6680627,165.37,35.7684,129.6016,120.396,9.20560000000002
"43",43,44.8959452,-68.6681218,176.09,36.044,140.046,120.396,19.65
"44",44,44.8959265,-68.6673568,168.07,36.0041,132.0659,120.396,11.6699
"45",45,44.8958895,-68.6672184,162.14,35.8367,126.3033,120.396,5.90729999999998
"46",46,44.896511,-68.6669033,171.64,35.5935,136.0465,120.396,15.6505
"47",47,44.8963913,-68.6684597,158.41,35.9392,122.4708,120.396,2.0748
"48",48,44.8957784,-68.6669983,158.35,35.5716,122.7784,120.396,2.3824
"49",49,44.8960689,-68.6679097,167.75,36.0002,131.7498,120.396,11.3538
